AB_CLIENT_ID,AB_NOM,AB_PRENOM,AB_DATE_NAISSANCE,AB_EMAIL,AB_TELEPHONE,AB_ADRESSE,AB_CODE_POSTAL,AB_NUM_FISCAL,AB_DATE_CREATION,AB_STATUT_CLIENT
163,Berger,Alphonse,1953-01-18,alphonse.berger@gmail.com,+33 2 58 80 92 02,"78, boulevard de Diaz",03999,FR413797723,2025-02-20 10:40:39,ACTIF
164,Meunier,Joséphine,2005-03-01,joséphine.meunier@free.fr,0321579913,"22, rue Barbe",64800,FR629127990,2026-03-02 07:58:12,SUSPENDU
165,Chrétien,Constance,1948-04-29,constance.chrétien@yahoo.fr,02 56 98 06 86,"9, rue Suzanne Leduc",97358,FR599162473,2022-05-11 15:34:22,ACTIF
166,Joseph,Roland,1970-09-24,roland.joseph@noos.fr,+33 1 39 09 81 80,"75, rue Honoré Launay",83699,FR448695946,2023-05-19 02:10:53,ACTIF
167,Courtois,Antoinette,1959-12-20,antoinette.courtois@tiscali.fr,0699449562,"4, rue Eugène Benoit",65510,FR589026012,2025-08-28 15:50:43,SUSPENDU
168,Gay,Joséphine,1944-05-13,joséphine.gay@hotmail.fr,0367519066,"149, avenue Navarro",02306,FR843098839,2023-02-01 19:14:29,INACTIF
169,Da Silva,Margot,1968-03-16,margot.da silva@live.com,+33 (0)2 97 14 65 66,"18, rue de Robin",70391,FR895543937,2025-01-30 06:51:31,SUSPENDU
170,Thomas,Hortense,1959-06-20,hortense.thomas@bouygtel.fr,02 44 81 84 51,"58, avenue de Hoareau",72595,FR357790714,2022-03-22 02:53:31,INACTIF
171,Couturier,Alex,1966-12-08,alex.couturier@orange.fr,0557588043,"7, chemin de Sanchez",70282,FR755394237,2023-05-06 13:53:51,INACTIF
172,Guyon,Noël,1971-10-07,noël.guyon@orange.fr,+33 3 71 33 95 21,avenue Bonneau,01882,FR807595794,2025-10-27 02:46:50,SUSPENDU
173,Salmon,Jules,1973-10-15,jules.salmon@wanadoo.fr,03 67 92 08 67,"9, avenue Marianne Diallo",22568,FR187500369,2022-07-03 05:59:01,INACTIF
174,Étienne,Victor,1961-02-11,victor.étienne@bouygtel.fr,0376479552,"73, chemin de Marchal",51386,FR729293143,2026-05-15 14:50:11,ACTIF
175,Weber,Aurore,1955-06-29,aurore.weber@sfr.fr,+33 6 60 26 72 88,"57, boulevard Hélène Rousseau",50201,FR203471754,2024-09-18 16:57:37,INACTIF
176,Vaillant,Agnès,1982-06-25,agnès.vaillant@bouygtel.fr,+33 (0)5 56 15 93 99,"624, boulevard Claire Becker",94557,FR169472256,2026-07-05 06:04:04,ACTIF
177,Guérin,Anne,1957-09-10,anne.guérin@hotmail.fr,0370554496,"95, avenue Jacques Gonzalez",03228,FR341326111,2025-09-02 08:58:16,ACTIF
178,Vincent,Emmanuelle,1989-09-04,emmanuelle.vincent@voila.fr,+33 (0)2 43 49 21 64,"84, rue de Payet",67958,FR200557784,2026-04-24 12:10:52,INACTIF
179,Dufour,Capucine,1997-10-11,capucine.dufour@free.fr,04 67 57 83 17,"56, chemin Dubois",01635,FR254780774,2021-09-21 14:39:24,ACTIF
180,Perret,Pauline,1967-02-10,pauline.perret@club-internet.fr,+33 (0)5 16 36 86 63,"46, rue Audrey Toussaint",30629,FR944846312,2022-10-22 17:06:27,SUSPENDU
181,Masson,Stéphane,1997-04-07,stéphane.masson@tele2.fr,,"5, rue Michelle Navarro",93108,FR312073564,2025-11-19 16:45:43,SUSPENDU
182,Barthelemy,Alix,1980-08-03,alix.barthelemy@gmail.com,,"74, rue Lecoq",91354,FR673037183,2025-09-01 06:06:33,INACTIF
183,Bazin,Amélie,1979-08-12,amélie.bazin@club-internet.fr,+33 1 72 88 14 74,"40, rue Couturier",55432,FR024916300,2026-08-03 13:55:27,INACTIF
184,Blot,Sabine,1956-09-26,sabine.blot@tiscali.fr,0233327195,"1, rue Martine Regnier",14228,FR735857306,2024-09-10 00:35:07,SUSPENDU
185,Lucas,Monique,1941-01-06,monique.lucas@bouygtel.fr,05 87 84 87 39,"855, boulevard Françoise Renard",09643,FR274485708,2024-11-13 21:13:04,INACTIF
186,Gonzalez,Nath,1985-03-12,nath.gonzalez@voila.fr,,"59, avenue Lucy Lebrun",15198,FR810220317,2023-04-11 13:39:13,INACTIF
187,David,Eugène,2002-04-27,eugène.david@ifrance.com,0176539103,"81, rue de Alves",71861,FR650948014,2022-04-23 08:57:48,SUSPENDU
188,Paul,Martin,1949-06-02,martin.paul@yahoo.fr,+33 5 32 33 83 92,"661, avenue de Boutin",85537,FR122868528,2025-05-31 15:03:45,ACTIF
189,Gomes,Adrienne,1986-03-27,adrienne.gomes@dbmail.com,05 79 59 39 83,"845, avenue Adrien Pages",05391,FR908240433,2024-04-28 14:40:32,INACTIF
190,Leleu,Alphonse,2005-03-24,alphonse.leleu@bouygtel.fr,+33 2 36 07 52 24,"533, rue Henriette Alexandre",72322,FR157279194,2021-12-18 08:18:32,ACTIF
191,Verdier,Nath,1946-04-29,nath.verdier@ifrance.com,+33 (0)4 80 56 61 39,avenue de Vincent,39636,FR058925832,2022-01-28 04:42:40,INACTIF
192,Foucher,Margot,1996-04-16,margot.foucher@ifrance.com,+33 (0)3 67 64 62 25,boulevard Noémi Girard,70508,FR416862278,2023-05-01 17:43:24,INACTIF
193,Delaunay,Claire,2006-12-29,claire.delaunay@sfr.fr,+33 3 81 14 65 91,avenue de Briand,46456,FR355904259,2025-05-29 03:15:22,INACTIF
194,Rodrigues,Laurence,1941-10-01,laurence.rodrigues@tele2.fr,+33 3 56 52 11 03,"14, rue Thibault Lebreton",60123,FR538338848,2025-10-02 22:44:04,INACTIF
195,Chauveau,Laurence,1938-02-23,laurence.chauveau@laposte.net,01 73 42 04 39,"8, rue de Mercier",49776,FR451046368,2022-06-29 16:40:19,ACTIF
196,Vallée,Thomas,1961-01-05,thomas.vallée@hotmail.fr,+33 6 33 80 03 84,"36, chemin Pottier",45463,FR438404608,2024-01-11 18:26:54,INACTIF
197,Fernandes,Maurice,1989-02-09,maurice.fernandes@dbmail.com,+33 2 32 68 93 63,"56, chemin de Pons",69234,FR329832482,2025-04-21 09:35:56,SUSPENDU
198,Rodrigues,Pénélope,1978-11-08,pénélope.rodrigues@free.fr,,"57, rue Gautier",17289,FR099499939,2023-08-15 14:27:57,ACTIF
199,Torres,Nicolas,1984-07-15,nicolas.torres@voila.fr,,"32, rue David",52882,FR046333127,2025-10-24 10:28:16,ACTIF
200,Germain,Marie,1969-03-25,marie.germain@tele2.fr,05 53 09 65 69,"998, rue de Dijoux",14562,FR703886086,2026-01-13 18:52:33,ACTIF
